date,water_temp,ph,O2,turbidity,conductivity
2022-01-05 21:00:00,10.9,7.74,10.47,251.8,391.0
2022-01-05 22:00:00,10.9,7.76,10.5,338.1,404.8
2022-01-05 23:00:00,10.8,7.76,10.48,261.8,365.7
2022-01-06 00:00:00,10.8,7.76,10.62,160.5,352.2
2022-01-06 01:00:00,10.8,7.76,10.65,125.9,348.1
2022-01-06 02:00:00,10.9,7.76,10.69,103.2,341.9
2022-01-06 03:00:00,10.9,7.76,10.76,97.2,338.0
2022-01-06 04:00:00,10.9,7.75,10.72,79.5,338.8
2022-01-06 05:00:00,10.9,7.75,10.75,86.0,338.4
2022-01-06 06:00:00,10.9,7.75,10.74,79.9,338.4
2022-01-06 07:00:00,10.9,7.75,10.72,79.9,338.7
2022-01-06 08:00:00,10.9,7.75,10.67,72.3,339.2
2022-01-06 09:00:00,10.9,7.74,10.68,74.1,339.2
2022-01-06 10:00:00,10.9,7.75,10.67,72.7,339.3
2022-01-06 11:00:00,11.0,7.74,10.66,73.2,339.1
2022-01-06 12:00:00,11.0,7.73,10.6,64.1,339.3
2022-01-06 13:00:00,11.0,7.73,10.64,69.7,339.1
2022-01-06 14:00:00,11.0,7.75,10.63,69.3,338.8
2022-01-06 15:00:00,11.0,7.74,10.63,69.0,339.3
2022-01-06 16:00:00,11.0,7.74,10.56,62.2,339.4
2022-01-06 17:00:00,11.0,7.73,10.59,64.8,339.7
2022-01-06 18:00:00,11.1,7.71,10.54,79.3,333.6
2022-01-06 19:00:00,11.0,7.73,10.53,76.7,333.9
2022-01-06 20:00:00,11.0,7.71,10.46,70.2,333.7
2022-01-06 21:00:00,11.0,7.71,10.52,75.6,334.4
2022-01-06 22:00:00,11.0,7.72,10.52,81.5,335.8
2022-01-06 23:00:00,11.0,7.77,10.57,125.4,340.1
2022-01-07 00:00:00,11.0,7.74,10.54,103.9,338.7
2022-01-07 01:00:00,11.0,7.74,10.57,99.2,338.0
2022-01-07 02:00:00,11.0,7.69,10.55,86.4,337.0
2022-01-07 03:00:00,11.0,7.71,10.52,74.5,335.8
2022-01-07 04:00:00,11.1,7.71,10.43,61.5,334.1
2022-01-07 05:00:00,11.1,7.72,10.45,59.9,334.2
2022-01-07 06:00:00,11.1,7.71,10.44,57.4,333.3
2022-01-07 07:00:00,11.2,7.69,10.41,59.4,329.4
2022-01-07 08:00:00,11.1,7.71,10.34,52.8,329.8
2022-01-07 09:00:00,11.1,7.7,10.36,53.4,330.5
2022-01-07 10:00:00,11.2,7.71,10.37,50.6,329.8
2022-01-07 11:00:00,11.2,7.69,10.38,48.3,328.9
2022-01-07 12:00:00,11.2,7.71,10.39,50.1,328.8
2022-01-07 13:00:00,11.2,7.68,10.37,49.1,327.9
2022-01-07 14:00:00,11.2,7.7,10.4,45.3,327.2
2022-01-07 15:00:00,11.2,7.685,10.35,41.95,328.05
2022-01-07 16:00:00,11.2,7.67,10.3,38.6,328.9
2022-01-07 17:00:00,11.2,7.69,10.32,37.8,328.9
2022-01-07 18:00:00,11.3,7.65,10.31,70.9,328.3
2022-01-07 19:00:00,11.4,7.67,10.27,59.8,322.8
2022-01-07 20:00:00,11.2,7.65,10.24,47.6,329.5
2022-01-07 21:00:00,11.2,7.63,10.26,46.1,329.8
2022-01-07 22:00:00,11.3,7.65,10.24,43.8,328.0
2022-01-07 23:00:00,11.3,7.63,10.23,43.3,326.3
2022-01-08 00:00:00,11.3,7.66,10.27,40.8,326.7
2022-01-08 01:00:00,11.3,7.65,10.3,42.1,326.0
2022-01-08 02:00:00,11.2,7.6,10.26,38.1,327.0
2022-01-08 03:00:00,11.3,7.6,10.24,37.4,326.8
2022-01-08 04:00:00,11.3,7.58,10.18,32.7,327.0
2022-01-08 05:00:00,11.3,7.6,10.22,36.3,324.9
2022-01-08 06:00:00,11.4,7.6,10.18,36.6,324.5
2022-01-08 07:00:00,11.4,7.62,10.25,36.4,323.4
2022-01-08 08:00:00,11.4,7.61,10.2,33.3,322.2
2022-01-08 09:00:00,11.4,7.61,10.22,34.4,322.0
2022-01-08 10:00:00,11.4,7.61,10.2,34.9,322.8
2022-01-08 11:00:00,11.5,7.63,10.17,36.1,320.7
2022-01-08 12:00:00,11.5,7.58,10.1,34.7,320.5
2022-01-08 13:00:00,11.5,7.6,10.17,33.1,321.0
2022-01-08 14:00:00,11.4,7.58,10.2,28.7,321.8
2022-01-08 15:00:00,11.4,7.56,10.2,28.6,321.7
2022-01-08 16:00:00,11.5,7.58,10.15,29.5,319.3
2022-01-08 17:00:00,11.6,7.6,10.14,33.4,317.5
2022-01-08 18:00:00,11.6,7.58,10.12,31.6,318.0
2022-01-08 19:00:00,11.2,7.5,10.22,25.8,327.4
2022-01-08 20:00:00,11.1,7.49,10.15,26.3,333.0
2022-01-08 21:00:00,11.0,7.51,10.26,27.3,329.4
2022-01-08 22:00:00,11.0,7.51,10.28,26.7,329.0
2022-01-08 23:00:00,11.0,7.51,10.29,26.1,329.3
2022-01-09 00:00:00,11.0,7.5,10.25,23.4,329.3
2022-01-09 01:00:00,11.0,7.49,10.28,24.9,329.2
2022-01-09 02:00:00,11.0,7.5,10.26,24.4,329.1
2022-01-09 03:00:00,11.0,7.5,10.24,24.1,329.1
2022-01-09 04:00:00,11.0,7.5,10.18,21.6,328.7
2022-01-09 05:00:00,11.0,7.49,10.2,23.8,329.1
2022-01-09 06:00:00,11.1,7.48,10.19,23.6,329.1
2022-01-09 07:00:00,11.1,7.49,10.21,22.9,328.7
2022-01-09 08:00:00,11.1,7.5,10.15,21.4,328.6
2022-01-09 09:00:00,11.1,7.5,10.2,21.1,328.8
2022-01-09 10:00:00,11.1,7.5,10.19,21.3,328.5
2022-01-09 11:00:00,11.1,7.5,10.19,20.8,328.2
2022-01-09 12:00:00,11.1,7.48,10.12,18.4,329.0
2022-01-09 13:00:00,11.1,7.47,10.15,18.8,329.3
2022-01-09 14:00:00,11.1,7.48,10.14,19.9,328.5
2022-01-09 15:00:00,11.2,7.48,10.15,19.5,327.1
2022-01-09 16:00:00,11.1,7.49,10.16,18.0,325.7
2022-01-09 17:00:00,11.1,7.49,10.21,18.9,326.5
2022-01-09 18:00:00,11.1,7.48,10.17,18.1,326.3
2022-01-09 19:00:00,11.2,7.48,10.16,17.7,325.3
2022-01-09 20:00:00,11.2,7.46,10.09,16.5,324.5
2022-01-09 21:00:00,11.2,7.48,10.14,17.4,322.4
2022-01-09 22:00:00,11.2,7.46,10.12,16.9,322.3
2022-01-09 23:00:00,11.2,7.46,10.1,17.2,323.2
2022-01-10 00:00:00,11.2,7.45,10.06,15.9,323.6
2022-01-10 01:00:00,11.2,7.47,10.09,17.2,321.7
2022-01-10 02:00:00,11.3,7.48,10.08,17.4,320.3
2022-01-10 03:00:00,11.3,7.47,10.05,17.3,320.2
2022-01-10 04:00:00,11.3,7.45,10.03,15.2,317.7
2022-01-10 05:00:00,11.2,7.45,10.07,16.3,317.8
2022-01-10 06:00:00,11.3,7.46,10.04,16.9,317.2
2022-01-10 07:00:00,11.3,7.47,10.01,16.8,316.2
2022-01-10 08:00:00,11.4,7.47,9.98,16.0,315.5
2022-01-10 09:00:00,11.4,7.46,9.98,17.3,314.5
2022-01-10 10:00:00,11.4,7.47,9.96,16.7,314.0
2022-01-10 11:00:00,11.4,7.46,9.96,16.8,313.3
2022-01-10 12:00:00,11.4,7.46,9.91,15.1,314.7
2022-01-10 13:00:00,11.4,7.45,9.96,16.1,313.7
2022-01-10 14:00:00,11.4,7.44,9.98,16.0,312.3
2022-01-10 15:00:00,11.4,7.44,9.96,16.4,311.6
2022-01-10 16:00:00,11.5,7.45,9.91,15.5,310.8
2022-01-10 17:00:00,11.5,7.46,9.94,16.3,309.8
2022-01-10 18:00:00,11.5,7.45,9.92,16.0,309.2
2022-01-10 19:00:00,11.4,7.44,9.96,15.7,308.9
2022-01-10 20:00:00,11.4,7.44,9.98,14.2,308.4
2022-01-10 21:00:00,11.4,7.45,10.04,15.0,307.8
2022-01-10 22:00:00,11.4,7.45,10.04,15.4,307.6
2022-01-10 23:00:00,11.4,7.45,9.99,15.1,306.7
2022-01-11 00:00:00,11.4,7.44,9.94,13.9,306.2
2022-01-11 01:00:00,11.5,7.43,9.97,15.2,306.8
2022-01-11 02:00:00,11.6,7.45,9.9,15.8,305.8
2022-01-11 03:00:00,11.6,7.45,9.87,15.8,303.5
2022-01-11 04:00:00,11.6,7.45,9.81,14.8,303.1
2022-01-11 05:00:00,11.6,7.45,9.87,15.6,301.9
2022-01-11 06:00:00,11.6,7.45,9.89,15.2,301.3
2022-01-11 07:00:00,11.6,7.44,9.91,14.7,300.5
2022-01-11 08:00:00,11.6,7.43,9.84,14.4,300.0
2022-01-11 09:00:00,11.6,7.43,9.88,15.0,299.6
2022-01-11 10:00:00,11.6,7.43,9.87,15.2,299.5
2022-01-11 11:00:00,11.6,7.43,9.85,15.1,298.7
2022-01-11 12:00:00,11.6,7.43,9.85,14.3,298.6
2022-01-11 13:00:00,11.5,7.45,9.98,14.9,297.9
2022-01-11 14:00:00,11.5,7.47,10.02,14.8,297.8
2022-01-11 15:00:00,11.6,7.45,9.99,15.1,297.4
2022-01-11 16:00:00,11.6,7.44,9.84,14.3,297.0
2022-01-11 17:00:00,11.7,7.45,9.85,14.9,296.6
2022-01-11 18:00:00,11.7,7.45,9.83,14.8,295.8
2022-01-11 19:00:00,11.6,7.45,9.86,14.6,296.1
2022-01-11 20:00:00,11.6,7.44,9.91,13.9,296.3
2022-01-11 21:00:00,11.5,7.46,10.04,14.5,296.4
2022-01-11 22:00:00,11.4,7.49,10.12,30.3,300.0
2022-01-11 23:00:00,10.8,7.48,10.52,16.6,307.5
2022-01-12 00:00:00,10.8,7.46,10.54,15.1,309.0
2022-01-12 01:00:00,10.7,7.47,10.56,16.8,310.3
2022-01-12 02:00:00,10.7,7.46,10.53,16.8,311.1
2022-01-12 03:00:00,10.7,7.45,10.55,16.7,311.5
2022-01-12 04:00:00,10.7,7.45,10.5,14.8,312.1
2022-01-12 05:00:00,10.7,7.46,10.56,16.2,312.1
2022-01-12 06:00:00,10.7,7.45,10.54,16.1,312.1
2022-01-12 07:00:00,10.7,7.45,10.53,15.6,312.3
2022-01-12 08:00:00,10.7,7.46,10.48,14.6,312.1
2022-01-12 09:00:00,10.7,7.45,10.49,15.4,312.0
2022-01-12 10:00:00,10.7,7.45,10.47,15.5,312.0
2022-01-12 11:00:00,10.8,7.46,10.47,15.1,311.9
2022-01-12 12:00:00,10.8,7.45,10.43,14.2,312.0
2022-01-12 13:00:00,10.8,7.45,10.5,15.2,312.2
2022-01-12 14:00:00,10.8,7.44,10.51,14.4,313.2
2022-01-12 15:00:00,10.8,7.45,10.49,15.0,313.4
2022-01-12 16:00:00,10.8,7.44,10.44,13.5,312.7
2022-01-12 17:00:00,10.8,7.45,10.48,14.6,312.6
2022-01-12 18:00:00,10.9,7.44,10.45,14.4,312.1
2022-01-12 19:00:00,10.9,7.44,10.42,14.4,311.9
2022-01-12 20:00:00,10.9,7.44,10.35,13.3,312.4
2022-01-12 21:00:00,10.9,7.44,10.4,14.0,311.3
2022-01-12 22:00:00,10.9,7.44,10.38,13.4,309.7
2022-01-12 23:00:00,11.0,7.44,10.37,13.4,308.2
2022-01-13 00:00:00,11.0,7.44,10.32,12.0,307.5
2022-01-13 01:00:00,11.0,7.44,10.35,13.5,315.9
2022-01-13 02:00:00,11.0,7.44,10.34,13.8,318.8
2022-01-13 03:00:00,11.0,7.44,10.34,13.7,316.5
2022-01-13 04:00:00,11.0,7.43,10.3,12.5,310.1
2022-01-13 05:00:00,11.0,7.44,10.33,13.5,310.1
2022-01-13 06:00:00,11.1,7.44,10.31,13.3,310.9
2022-01-13 07:00:00,11.1,7.45,10.29,12.7,309.0
2022-01-13 08:00:00,11.1,7.48,10.24,12.0,306.9
2022-01-13 09:00:00,11.1,7.44,10.29,12.4,305.8
2022-01-13 10:00:00,11.1,7.43,10.27,12.5,304.4
2022-01-13 11:00:00,11.1,7.425,10.245,12.25,304.15
2022-01-13 12:00:00,11.1,7.42,10.22,12.0,303.9
2022-01-13 13:00:00,11.1,7.43,10.28,12.9,304.4
2022-01-13 14:00:00,11.1,7.45,10.29,13.1,304.8
2022-01-13 15:00:00,11.1,7.43,10.28,13.1,303.6
2022-01-13 16:00:00,11.2,7.44,10.21,11.6,298.1
2022-01-13 17:00:00,11.2,7.43,10.24,12.2,300.6
2022-01-13 18:00:00,11.2,7.43,10.25,12.2,297.1
2022-01-13 19:00:00,11.2,7.45,10.26,12.0,298.5
2022-01-13 20:00:00,11.2,7.44,10.24,11.4,298.9
2022-01-13 21:00:00,11.2,7.44,10.26,12.6,298.3
2022-01-13 22:00:00,11.1,7.43,10.27,13.2,299.3
2022-01-13 23:00:00,11.1,7.42,10.24,12.6,297.3
2022-01-14 00:00:00,11.2,7.42,10.18,11.5,296.4
2022-01-14 01:00:00,11.2,7.42,10.21,12.7,293.9
2022-01-14 02:00:00,11.2,7.42,10.19,12.0,291.2
2022-01-14 03:00:00,11.2,7.43,10.18,12.0,290.9
2022-01-14 04:00:00,11.2,7.42,10.13,11.2,292.1
2022-01-14 05:00:00,11.3,7.42,10.16,12.0,288.0
2022-01-14 06:00:00,11.3,7.43,10.16,11.8,287.8
2022-01-14 07:00:00,11.3,7.42,10.19,11.3,286.7
2022-01-14 08:00:00,11.3,7.42,10.175,11.45,286.15
2022-01-14 09:00:00,11.3,7.42,10.16,11.6,285.6
2022-01-14 10:00:00,11.3,7.45,10.17,11.1,285.4
2022-01-14 11:00:00,11.4,7.42,10.15,11.4,285.1
2022-01-14 12:00:00,11.3,7.42,10.165,11.45,285.8
2022-01-14 13:00:00,11.2,7.42,10.18,11.5,286.5
2022-01-14 14:00:00,11.2,7.42,10.05,11.8,288.1
2022-01-14 15:00:00,11.2,7.42,10.09,11.9,287.9
2022-01-14 16:00:00,11.3,7.4,10.11,11.0,283.4
2022-01-14 17:00:00,11.3,7.41,10.16,11.5,284.3
2022-01-14 18:00:00,11.3,7.41,10.14,11.3,284.4
2022-01-14 19:00:00,11.3,7.41,10.16,11.0,282.9
2022-01-14 20:00:00,11.3,7.41,10.11,11.1,283.7
2022-01-14 21:00:00,11.2,7.41,10.16,11.9,284.0
2022-01-14 22:00:00,11.2,7.42,10.16,12.1,284.6
2022-01-14 23:00:00,11.2,7.46,10.14,12.2,283.1
2022-01-15 00:00:00,11.2,7.45,10.1,11.3,283.0
2022-01-15 01:00:00,11.3,7.46,10.12,12.1,281.3
2022-01-15 02:00:00,11.4,7.41,10.1,11.6,278.9
2022-01-15 03:00:00,11.4,7.4,10.08,10.7,277.5
2022-01-15 04:00:00,11.4,7.4,10.01,10.7,276.9
2022-01-15 05:00:00,11.4,7.41,10.08,11.1,277.2
2022-01-15 06:00:00,11.4,7.43,10.08,11.1,277.3
2022-01-15 07:00:00,11.4,7.41,10.06,11.2,274.9
2022-01-15 08:00:00,11.4,7.4,10.03,10.7,275.4
2022-01-15 09:00:00,11.4,7.42,10.06,11.6,275.1
2022-01-15 10:00:00,11.4,7.42,10.06,10.9,274.5
2022-01-15 11:00:00,11.5,7.41,10.05,11.4,274.4
2022-01-15 12:00:00,11.4,7.39,10.03,11.5,275.6
2022-01-15 13:00:00,11.3,7.42,10.11,12.1,277.8
2022-01-15 14:00:00,11.3,7.48,10.14,12.1,278.3
2022-01-15 15:00:00,11.4,7.46,10.09,11.3,275.3
2022-01-15 16:00:00,11.2,7.46,10.07,11.6,282.9
2022-01-15 17:00:00,11.3,7.4,10.11,11.9,280.6
2022-01-15 18:00:00,11.3,7.4,10.11,12.0,277.6
2022-01-15 19:00:00,11.6,7.42,10.05,11.3,270.6
2022-01-15 20:00:00,11.4,7.4,10.03,10.8,273.9
2022-01-15 21:00:00,11.4,7.38,10.12,11.4,276.6
2022-01-15 22:00:00,11.4,7.38,10.12,11.6,279.6
2022-01-15 23:00:00,11.3,7.37,10.13,11.9,280.4
2022-01-16 00:00:00,11.4,7.37,10.05,10.9,276.0
2022-01-16 01:00:00,11.5,7.39,10.08,11.3,272.5
2022-01-16 02:00:00,11.5,7.38,10.06,11.0,270.1
2022-01-16 03:00:00,11.6,7.38,10.05,11.4,268.3
2022-01-16 04:00:00,11.6,7.41,9.98,11.0,268.0
2022-01-16 05:00:00,11.6,7.39,10.03,11.1,269.2
2022-01-16 06:00:00,11.3,7.38,10.08,11.7,281.3
2022-01-16 07:00:00,11.6,7.37,10.04,11.4,267.1
2022-01-16 08:00:00,11.6,7.36,9.99,10.7,268.3
2022-01-16 09:00:00,11.6,7.39,10.03,11.1,265.4
2022-01-16 10:00:00,11.6,7.37,10.04,11.7,266.7
2022-01-16 11:00:00,11.7,7.37,10.05,10.5,264.6
2022-01-16 12:00:00,11.5,7.38,10.09,12.5,274.9
2022-01-16 13:00:00,11.5,7.35,10.12,11.4,273.5
2022-01-16 14:00:00,11.5,7.38,10.1,11.3,274.6
2022-01-16 15:00:00,11.7,7.37,10.03,11.4,266.3
2022-01-16 16:00:00,11.0,7.38,10.09,13.2,308.1
2022-01-16 17:00:00,11.4,7.37,10.11,12.2,285.9
2022-01-16 18:00:00,11.4,7.4,10.14,12.6,291.7
2022-01-16 19:00:00,11.6,7.37,10.06,11.3,272.3
2022-01-16 20:00:00,11.6,7.37,9.99,11.2,273.7
2022-01-16 21:00:00,11.6,7.37,10.03,11.4,272.6
2022-01-16 22:00:00,11.5,7.39,10.1,11.8,280.1
2022-01-16 23:00:00,11.5,7.42,10.11,12.3,281.7
2022-01-17 00:00:00,11.5,7.39,10.03,11.2,277.8
2022-01-17 01:00:00,11.6,7.41,10.05,11.1,270.6
2022-01-17 02:00:00,11.7,7.38,10.03,11.1,268.7
2022-01-17 03:00:00,11.8,7.36,9.98,10.8,262.8
2022-01-17 04:00:00,11.8,7.36,9.91,10.5,262.7
2022-01-17 05:00:00,11.5,7.37,10.02,12.0,282.9
2022-01-17 06:00:00,11.4,7.38,10.09,12.2,280.2
2022-01-17 07:00:00,11.7,7.37,9.97,10.9,261.3
2022-01-17 08:00:00,11.8,7.42,9.92,10.1,259.4
2022-01-17 09:00:00,11.8,7.37,9.96,10.9,260.2
2022-01-17 10:00:00,11.6,7.37,10.02,11.3,269.6
2022-01-17 11:00:00,11.8,7.37,9.98,11.3,262.9
2022-01-17 12:00:00,11.5,7.36,10.04,11.6,277.7
2022-01-17 13:00:00,11.5,7.36,10.08,11.4,278.7
2022-01-17 14:00:00,11.5,7.37,10.09,12.2,280.5
2022-01-17 15:00:00,11.7,7.36,10.02,11.7,268.6
2022-01-17 16:00:00,11.0,7.43,10.16,12.8,314.0
2022-01-17 17:00:00,11.4,7.4,10.12,12.6,291.6
2022-01-17 18:00:00,11.4,7.38,10.08,13.3,294.3
2022-01-17 19:00:00,11.1,7.425,10.19,14.45,309.35
2022-01-17 20:00:00,10.8,7.47,10.3,15.6,324.4
2022-01-17 21:00:00,10.8,7.45,10.365,15.85,324.8
2022-01-17 22:00:00,10.8,7.43,10.43,16.1,325.2
2022-01-17 23:00:00,10.8,7.42,10.41,16.4,326.6
2022-01-18 00:00:00,10.7,7.41,10.36,15.1,328.4
2022-01-18 01:00:00,10.7,7.44,10.37,17.0,329.5
2022-01-18 02:00:00,10.7,7.42,10.37,17.3,329.8
2022-01-18 03:00:00,10.7,7.37,10.37,16.4,330.2
2022-01-18 04:00:00,10.7,7.37,10.31,15.5,329.8
