序号,站点名称,所在设区市,所在县(市、区),流域,水系,水体,检测时间,水温(℃),pH,溶解氧(mg/L),浊度(NTU),电导率(uS/cm),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
21,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 20,12.1,7.97,13.26,8.6,257.7,1.7,0.07,0.031,1.45
22,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 21,12.0,7.95,13.41,8.9,258.3,,,,
23,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 22,12.2,7.93,13.31,8.9,258.1,,,,
24,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 23,12.2,7.94,13.32,9.2,258.1,,,,
25,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 00,12.2,7.92,12.83,7.8,258.0,1.6,0.07,0.031,1.74
26,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 01,12.0,7.92,13.39,9.0,258.1,,,,
27,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 02,12.2,7.91,13.31,9.8,258.2,,,,
28,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 03,12.3,7.9,13.18,8.6,258.0,,,,
29,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 04,12.2,7.88,12.66,7.8,258.0,1.6,0.07,0.029,1.54
30,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 05,12.1,7.87,13.31,8.4,258.4,,,,
31,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 06,12.3,7.87,13.29,8.4,258.0,,,,
32,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 07,12.3,7.87,13.23,8.4,257.9,,,,
33,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 08,12.3,7.86,12.7,7.1,258.1,1.7,0.1,0.03,1.62
34,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 09,12.2,7.99,13.69,9.5,252.4,,,,
35,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 10,12.5,8.03,13.73,9.7,250.7,,,,
36,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 11,12.6,8.03,13.71,9.5,250.5,,,,
37,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 12,12.4,8.03,13.22,8.1,250.9,1.7,0.05,0.03,1.42
38,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 13,12.4,8.0,13.64,9.1,251.0,,,,
39,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 14,12.8,8.0,13.47,9.3,251.0,,,,
40,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 15,12.7,7.99,13.21,9.3,250.6,,,,
41,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 16,12.4,7.99,13.05,7.8,251.2,1.8,0.05,0.014,1.58
42,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 17,12.3,7.96,13.57,8.6,251.3,,,,
43,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 18,12.7,7.96,13.33,8.7,251.4,,,,
44,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 19,12.7,7.96,13.11,8.7,251.1,,,,
45,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 20,12.4,7.94,12.84,7.4,251.6,1.7,0.06,0.027,1.55
46,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 21,12.4,7.92,13.13,8.1,251.7,,,,
47,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 22,12.8,7.92,12.99,8.5,251.6,,,,
48,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-02 23,12.7,7.92,13.15,8.2,251.7,,,,
49,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 00,12.5,7.9,12.65,7.2,251.8,1.7,0.07,0.023,1.65
50,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 01,12.4,7.88,13.21,8.7,252.2,,,,
51,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 02,12.7,7.88,12.89,8.1,251.8,,,,
52,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 03,12.8,7.88,12.86,8.1,251.9,,,,
53,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 04,12.5,7.86,12.69,6.9,252.1,1.7,0.07,0.026,1.61
54,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 05,12.4,7.85,13.11,7.8,252.2,,,,
55,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 06,12.8,7.86,13.01,8.0,252.0,,,,
56,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 07,12.8,7.84,13.02,8.1,252.0,,,,
57,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 08,12.5,7.84,12.59,7.1,252.1,1.6,,,1.43
58,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 09,12.4,7.83,13.03,7.9,252.4,,,,
59,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 10,12.8,7.84,12.96,7.8,252.2,,,,
60,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 11,12.8,7.83,12.93,7.6,251.8,,,,
61,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 12,12.5,7.82,12.48,6.8,252.4,1.7,,,1.48
62,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 13,12.5,7.82,12.92,7.4,252.4,,,,
63,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 14,12.9,7.82,12.75,7.4,252.0,,,,
64,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 15,12.9,7.81,12.81,7.8,252.0,,,,
65,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 16,12.6,7.8,12.33,6.6,252.3,1.6,,,1.56
66,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 17,12.5,7.79,12.81,7.5,252.4,,,,
67,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 18,12.9,7.8,12.41,7.7,252.2,,,,
68,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 19,12.9,7.8,12.81,7.9,252.0,,,,
69,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 20,12.6,7.79,12.0,6.8,252.3,1.6,,,1.62
70,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 21,12.5,7.78,12.47,7.2,252.4,,,,
71,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 22,12.9,7.78,12.65,7.8,252.2,,,,
72,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-03 23,12.9,7.79,12.39,7.7,252.1,,,,
73,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 00,12.6,7.77,12.11,6.8,252.4,1.7,,,1.57
74,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 01,12.6,7.77,12.79,8.3,252.8,,,,
75,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 02,13.0,7.77,12.57,7.7,252.4,,,,
76,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 03,13.0,7.77,12.31,7.2,252.0,,,,
77,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 04,12.7,7.75,12.0,6.5,252.4,1.7,,,1.6
78,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 05,12.6,7.76,12.35,7.0,252.5,,,,
79,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 06,13.0,7.75,12.47,7.5,252.4,,,,
80,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 07,12.7,7.78,13.58,11.7,252.2,,,,
81,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 08,12.7,7.75,11.93,6.8,252.5,1.7,,,1.52
82,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 09,12.6,7.74,12.37,7.4,252.6,,,,
83,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 10,13.0,7.75,12.16,6.7,252.3,,,,
84,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 11,13.1,7.75,12.23,7.4,252.1,,,,
85,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 12,12.8,7.74,11.81,6.7,252.4,1.6,0.07,,1.58
86,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 13,12.7,7.74,12.3,7.4,252.6,,,,
87,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 14,13.1,7.74,12.12,7.2,252.4,,,,
88,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 15,13.1,7.74,12.15,7.3,252.1,,,,
89,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 16,12.7,7.74,11.77,6.4,252.5,1.6,0.7,0.028,2.06
90,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 17,12.6,7.73,12.88,8.8,252.6,,,,
91,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 18,12.6,7.73,12.64,7.1,252.7,,,,
92,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 19,13.0,7.73,12.38,6.7,252.2,,,,
93,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 20,12.8,7.73,11.65,6.0,252.6,1.7,0.07,0.025,1.79
94,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 21,12.7,7.71,12.45,7.2,252.7,,,,
95,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 22,13.1,7.72,12.37,7.1,252.4,,,,
96,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-04 23,13.1,7.73,12.7,8.6,252.2,,,,
97,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 00,12.8,7.71,11.62,6.5,252.4,1.7,0.04,0.025,1.66
98,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 01,12.7,7.71,12.49,7.2,252.6,,,,
99,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 02,13.1,7.71,12.61,9.0,252.7,,,,
100,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 03,13.1,7.71,12.66,8.5,252.6,,,,
101,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 04,12.8,7.71,11.52,6.2,252.5,1.7,0.05,0.029,1.5
102,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 05,12.7,7.71,12.63,8.7,252.8,,,,
103,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 06,13.1,7.7,12.41,8.7,252.2,,,,
104,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 07,13.1,7.71,12.68,8.7,252.2,,,,
105,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 08,12.9,7.7,11.39,6.1,252.5,1.6,0.06,0.03,1.87
106,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 09,12.8,7.71,12.2,8.1,252.8,,,,
107,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 10,13.2,7.71,12.35,7.9,252.3,,,,
108,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 11,13.3,7.7,12.17,9.1,252.3,,,,
109,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 12,13.0,7.69,11.05,6.0,252.4,1.6,0.04,0.031,1.68
110,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 13,13.1,7.69,11.82,6.5,252.5,,,,
111,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 14,13.6,7.69,11.58,6.8,251.8,,,,
112,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 15,13.6,7.69,11.69,6.9,252.0,,,,
113,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 16,13.1,7.69,11.08,6.1,252.3,1.7,0.04,0.026,1.54
114,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 17,13.1,7.68,12.28,8.4,252.4,,,,
115,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 18,13.6,8.09,13.38,10.8,231.1,,,,
116,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 19,13.6,8.26,13.56,8.7,226.8,,,,
117,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 20,13.1,8.27,14.01,7.7,227.4,1.7,0.04,0.026,1.39
118,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 21,13.0,8.2,14.3,8.9,227.9,,,,
119,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 22,13.5,8.19,13.95,9.2,227.6,,,,
120,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-05 23,13.5,8.17,13.86,9.2,228.5,,,,
121,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 00,13.0,8.16,13.42,7.0,229.1,1.7,0.04,0.024,1.46
122,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 01,13.0,8.11,13.66,8.5,229.6,,,,
123,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 02,13.5,8.09,13.73,8.7,229.4,,,,
124,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 03,13.5,8.07,13.29,8.2,230.2,,,,
125,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 04,13.1,8.07,13.15,6.7,230.4,1.6,0.04,0.026,1.41
126,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 05,13.0,8.03,13.47,8.2,231.2,,,,
127,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 06,13.5,8.02,13.14,8.0,231.2,,,,
128,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 07,13.5,8.01,13.06,7.7,231.3,,,,
129,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 08,13.1,7.99,12.79,6.6,232.0,1.7,0.06,0.015,1.45
130,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 09,13.1,7.97,13.19,7.7,232.5,,,,
131,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 10,13.7,7.96,12.88,8.0,232.2,,,,
132,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 11,13.8,7.95,12.8,7.7,231.9,,,,
133,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 12,13.3,7.94,12.62,6.2,232.5,1.6,0.04,0.023,1.48
134,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 13,13.5,7.91,12.87,7.4,232.6,,,,
135,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 14,14.6,7.88,12.95,8.3,228.7,,,,
136,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 15,14.8,7.84,12.7,8.6,228.1,,,,
137,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 16,13.4,8.03,13.39,8.6,233.9,1.6,0.04,0.023,1.48
138,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 17,13.5,8.08,13.77,8.7,233.0,,,,
139,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 18,14.5,8.15,13.62,10.5,230.9,,,,
140,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 19,14.4,8.2,13.28,9.5,230.7,,,,
141,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 20,13.4,8.27,14.08,8.1,231.6,1.7,0.03,0.019,1.58
142,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 21,13.5,8.28,14.03,8.8,230.2,,,,
143,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 22,14.6,8.39,13.73,8.3,221.6,,,,
144,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-06 23,14.7,8.36,13.49,8.7,223.4,,,,
145,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 00,13.9,8.35,13.76,7.0,223.4,1.8,0.04,0.018,2.03
146,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 01,13.9,8.3,13.83,8.3,223.9,,,,
147,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 02,14.6,8.28,13.04,7.5,223.7,,,,
148,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 03,14.6,8.23,12.94,7.4,224.3,,,,
149,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 04,13.8,8.17,13.13,6.4,226.3,1.6,0.04,0.021,1.38
150,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 05,13.8,8.11,13.18,7.9,227.2,,,,
151,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 06,14.5,8.07,12.68,8.0,227.1,,,,
152,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 07,14.4,8.07,12.65,7.5,227.2,,,,
153,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 08,13.8,8.07,12.74,6.4,227.3,1.7,0.05,0.025,1.42
154,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 09,13.9,8.05,13.0,7.9,228.4,,,,
155,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 10,14.8,8.09,12.65,8.0,225.9,,,,
156,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 11,14.9,8.08,12.37,7.6,226.2,,,,
157,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 12,14.0,8.07,12.8,7.6,227.0,1.7,0.03,0.013,
158,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 13,14.0,8.05,12.74,7.5,226.9,,,,
159,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 14,14.8,8.06,12.39,7.4,226.4,,,,
160,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 15,14.8,8.01,12.24,7.3,226.4,,,,
161,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 16,13.9,8.02,12.47,7.2,227.3,1.7,0.03,0.023,1.38
162,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 17,13.8,8.02,12.71,7.2,227.4,,,,
163,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 18,14.4,8.0,12.35,7.0,226.8,,,,
164,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 19,14.2,8.0,12.42,7.1,226.7,,,,
165,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 20,13.7,7.99,12.58,7.3,227.3,1.7,0.04,0.017,1.6
166,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 21,13.6,7.96,12.39,6.4,227.3,,,,
167,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 22,14.0,7.95,12.54,6.8,226.9,,,,
168,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-07 23,14.0,7.96,12.39,6.3,227.2,,,,
169,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 00,13.6,7.96,12.52,6.7,227.1,1.6,0.04,0.014,1.56
170,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 01,13.4,7.95,12.62,6.7,227.4,,,,
171,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 02,13.8,7.95,12.53,6.9,227.1,,,,
172,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 03,13.7,7.93,12.56,6.6,227.1,,,,
173,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 04,13.5,7.93,12.18,5.6,227.0,1.6,0.03,0.023,1.38
174,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 05,13.2,7.94,12.39,6.1,227.5,,,,
175,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 06,13.3,7.93,12.7,6.7,227.3,,,,
176,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 07,13.3,7.92,12.52,6.1,227.5,,,,
177,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 08,13.5,7.96,12.19,7.7,225.4,1.6,0.05,0.025,1.31
178,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 09,13.2,8.21,13.43,8.2,217.1,,,,
179,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 10,13.4,8.27,13.54,7.7,217.0,,,,
180,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 11,13.4,8.31,13.62,8.0,216.6,,,,
181,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 12,13.4,8.3,13.54,6.0,217.3267058578791,1.7,0.03,0.025,1.25
182,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 13,13.4,8.35,13.92,8.2,218.3,,,,
183,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 14,13.3,8.35,13.97,8.1,218.2,,,,
184,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 15,13.4,8.32,13.78,8.2,218.0,,,,
185,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 16,13.2,8.31,13.63,7.4,218.7,1.7,0.03,0.044,1.4
186,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 17,13.0,8.29,13.71,7.8,219.0,,,,
187,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 18,13.3,8.26,13.65,8.1,219.0,,,,
188,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-08 19,13.2,8.25,13.58,8.6,218.9,,,,
